DATETIME,MARK,LATITUDE_deg,LONGITUDE_deg,TWD_deg,TWS_km_h_1
2026-05-10 18:03:00+00:00,FL1,32.27193445712328,-64.84868265688421,194.10467848750258,15.13728
2026-05-10 18:03:01+00:00,FL1,32.2719310540706,-64.8486810475588,193.6816919461654,14.927760000000001
2026-05-10 18:03:02+00:00,FL1,32.27192864008248,-64.84867928735912,193.3498947111422,14.749199999999998
2026-05-10 18:03:03+00:00,FL1,32.271927617490306,-64.84867880120872,193.73223059785738,14.705279999999998
2026-05-10 18:03:04+00:00,FL1,32.27192786894738,-64.84867839887741,194.4914090395826,14.7456
2026-05-10 18:03:05+00:00,FL1,32.271929059177644,-64.84867891855538,195.367046113468,14.622480000000001
2026-05-10 18:03:06+00:00,FL1,32.271932177245596,-64.84868051111701,196.3932004760886,14.49
2026-05-10 18:03:07+00:00,FL1,32.27193566411732,-64.84868200309575,197.6654560991242,14.61816
2026-05-10 18:03:08+00:00,FL1,32.27193963713946,-64.848684232682,199.20908230842,14.74632
2026-05-10 18:03:09+00:00,FL1,32.27194340899588,-64.84868614375591,200.92629779961538,14.711759999999998
2026-05-10 18:03:10+00:00,FL1,32.271947650238886,-64.84868833981456,202.6457106234932,14.57424
2026-05-10 18:03:11+00:00,FL1,32.271951489150496,-64.8486906196922,204.253059480575,14.3208
2026-05-10 18:03:12+00:00,FL1,32.27195499278608,-64.84869150817394,205.77471236304837,14.24664
2026-05-10 18:03:13+00:00,FL1,32.2719579767436,-64.8486943077296,207.1689199499496,14.315040000000002
2026-05-10 18:03:14+00:00,FL1,32.27196129597724,-64.84869516268371,208.5598315378274,14.37552
2026-05-10 18:03:15+00:00,FL1,32.2719640787691,-64.84869648702443,209.7463911862544,14.50152
2026-05-10 18:03:16+00:00,FL1,32.27196655981242,-64.84869791194794,210.40449232459483,14.37048
2026-05-10 18:03:17+00:00,FL1,32.2719691246748,-64.84869841486216,210.712118900113,14.3352
2026-05-10 18:03:18+00:00,FL1,32.27197172306478,-64.84869958832863,210.8120975371562,14.433119999999999
2026-05-10 18:03:19+00:00,FL1,32.271973684430094,-64.84870052710173,210.7450788903472,14.97672
2026-05-10 18:03:20+00:00,FL1,32.27197556197642,-64.84870149940252,210.4682149723808,15.385679999999999
2026-05-10 18:03:21+00:00,FL1,32.27197730541228,-64.84870131500068,210.25617236854117,15.027840000000001
2026-05-10 18:03:22+00:00,FL1,32.271977590397,-64.84870386309922,210.05072176274922,13.74912
2026-05-10 18:03:23+00:00,FL1,32.271978881210075,-64.848703276366,210.24848170415362,14.107679999999998
2026-05-10 18:03:24+00:00,FL1,32.27198104374112,-64.84870094619691,211.0856654560992,14.453999999999999
2026-05-10 18:03:25+00:00,FL1,32.27198241837322,-64.8486968223006,211.8887905514694,14.55984
2026-05-10 18:03:26+00:00,FL1,32.27198240160942,-64.84869175963102,212.64247566148896,14.50728
2026-05-10 18:03:27+00:00,FL1,32.27198065817356,-64.84868652932349,213.35001678518,14.36976
2026-05-10 18:03:28+00:00,FL1,32.27197831124068,-64.8486863281578,214.97714163640222,14.23512
2026-05-10 18:03:29+00:00,FL1,32.27197405323386,-64.84868797101083,217.3854182561724,13.913999999999998
2026-05-10 18:03:30+00:00,FL1,32.27196895703672,-64.84868927858773,219.7058015686514,13.51728
2026-05-10 18:03:31+00:00,FL1,32.27196399495006,-64.8486884236336,221.9218115787226,13.23648
2026-05-10 18:03:32+00:00,FL1,32.27195915021002,-64.8486864119768,224.03454695272703,13.128480000000001
2026-05-10 18:03:33+00:00,FL1,32.27195534482598,-64.84868322685362,226.03851435895882,13.138560000000002
2026-05-10 18:03:34+00:00,FL1,32.27195182442664,-64.8486797567457,227.9370097964414,13.18392
2026-05-10 18:03:35+00:00,FL1,32.27194820344449,-64.84867278300229,229.72673726615176,13.189680000000001
2026-05-10 18:03:36+00:00,FL1,32.271943626925335,-64.84866574220361,231.42088076418335,13.09896
2026-05-10 18:03:37+00:00,FL1,32.271943224593976,-64.84865519776942,233.00515762810159,12.96432
2026-05-10 18:03:38+00:00,FL1,32.271945068612716,-64.84864678233862,234.498245185705,12.84984
2026-05-10 18:03:39+00:00,FL1,32.271950433030746,-64.84863999299705,235.89684743797102,12.725280000000001
2026-05-10 18:03:40+00:00,FL1,32.2719572558999,-64.84863637201488,237.2031617175816,12.60432
2026-05-10 18:03:41+00:00,FL1,32.271963709965334,-64.84863729402426,238.4303720206306,12.52368
2026-05-10 18:03:42+00:00,FL1,32.2719686385244,-64.84863970801234,239.5762810144352,12.4164
2026-05-10 18:03:43+00:00,FL1,32.27197073400018,-64.84864445216954,240.6452833643606,12.29328
2026-05-10 18:03:44+00:00,FL1,32.27197103574872,-64.84864956513046,241.38358714560363,12.133439999999998
2026-05-10 18:03:45+00:00,FL1,32.27196977846324,-64.84865311905743,239.5466170232246,12.15864
2026-05-10 18:03:46+00:00,FL1,32.27196654304864,-64.84865937195714,237.3613696707054,12.294720000000002
2026-05-10 18:03:47+00:00,FL1,32.2719649001956,-64.84866311028603,235.31675160985137,12.41568
2026-05-10 18:03:48+00:00,FL1,32.2719627544284,-64.84866820648311,233.37760551774676,12.57264
2026-05-10 18:03:49+00:00,FL1,32.271961983293316,-64.84867417439817,231.5527207251198,12.661200000000001
2026-05-10 18:03:50+00:00,FL1,32.2719638943672,-64.84867910295725,230.0486465041046,12.706560000000001
2026-05-10 18:03:51+00:00,FL1,32.27196845412254,-64.84868195280431,229.9442732016968,12.70368
2026-05-10 18:03:52+00:00,FL1,32.27197457291188,-64.84868605993688,229.97723319193082,12.68352
2026-05-10 18:03:53+00:00,FL1,32.27197998762132,-64.84869070351125,230.0057985168004,12.6936
2026-05-10 18:03:54+00:00,FL1,32.27198287099602,-64.8486981801689,230.0332651753286,12.726719999999998
